,address_id,address,address2,district,city_id,postal_code,phone,last_update
0,1,47 MySakila Drive,,Alberta,300,,,2021-04-08 14:36:58.200310
1,2,28 MySQL Boulevard,,QLD,576,,,2021-04-08 14:36:58.200310
2,3,23 Workhaven Lane,,Alberta,300,,14033335568.0,2021-04-08 14:36:58.200310
3,4,1411 Lillydale Drive,,QLD,576,,6172235589.0,2021-04-08 14:36:58.200310
4,5,1913 Hanoi Way,,Nagasaki,463,35200.0,28303384290.0,2021-04-08 14:36:58.200310
5,6,1121 Loja Avenue,,California,449,17886.0,838635286649.0,2021-04-08 14:36:58.200310
6,7,692 Joliet Street,,Attika,38,83579.0,448477190408.0,2021-04-08 14:36:58.200310
7,8,1566 Inegl Manor,,Mandalay,349,53561.0,705814003527.0,2021-04-08 14:36:58.200310
8,9,53 Idfu Parkway,,Nantou,361,42399.0,10655648674.0,2021-04-08 14:36:58.200310
9,10,1795 Santiago de Compostela Way,,Texas,295,18743.0,860452626434.0,2021-04-08 14:36:58.200310
10,11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896.0,716571220373.0,2021-04-08 14:36:58.200310
11,12,478 Joliet Way,,Hamilton,200,77948.0,657282285970.0,2021-04-08 14:36:58.200310
12,13,613 Korolev Drive,,Masqat,329,45844.0,380657522649.0,2021-04-08 14:36:58.200310
13,14,1531 Sal Drive,,Esfahan,162,53628.0,648856936185.0,2021-04-08 14:36:58.200310
14,15,1542 Tarlac Parkway,,Kanagawa,440,1027.0,635297277345.0,2021-04-08 14:36:58.200310
15,16,808 Bhopal Manor,,Haryana,582,10672.0,465887807014.0,2021-04-08 14:36:58.200310
16,17,270 Amroha Parkway,,Osmaniye,384,29610.0,695479687538.0,2021-04-08 14:36:58.200310
17,18,770 Bydgoszcz Avenue,,California,120,16266.0,517338314235.0,2021-04-08 14:36:58.200310
18,19,419 Iligan Lane,,Madhya Pradesh,76,72878.0,990911107354.0,2021-04-08 14:36:58.200310
19,20,360 Toulouse Parkway,,England,495,54308.0,949312333307.0,2021-04-08 14:36:58.200310
20,21,270 Toulon Boulevard,,Kalmykia,156,81766.0,407752414682.0,2021-04-08 14:36:58.200310
21,22,320 Brest Avenue,,Kaduna,252,43331.0,747791594069.0,2021-04-08 14:36:58.200310
22,23,1417 Lancaster Avenue,,Northern Cape,267,72192.0,272572357893.0,2021-04-08 14:36:58.200310
23,24,1688 Okara Way,,Nothwest Border Prov,327,21954.0,144453869132.0,2021-04-08 14:36:58.200310
